npm;cargo;Go;maven;pypi;rubygems
435;3635;7450;4129;2444;2428
431;3614;7407;4114;2429;2399
429;3614;7364;3866;2412;2389
428;3586;7359;3866;2406;2387
415;3579;7345;3861;2405;2360
415;3563;7076;3861;2405;2355
413;3563;7061;3829;2386;2350
401;3550;7058;3821;2381;2326
397;3542;6898;3821;2371;2319
396;3476;6868;3750;2362;2303
363;3473;6840;3690;2306;2280
358;3383;6734;3654;2305;2251
357;3380;6713;3652;2277;2245
353;3374;6659;3608;2250;2230
330;3354;6642;3596;2218;2212
326;3331;6376;3589;2203;2193
321;3313;6356;3585;2187;2189
319;3286;6351;3572;2178;2186
315;3259;6335;3568;2177;2161
308;3209;6292;3566;2155;2141
304;3121;6279;3522;2146;2117
302;3088;6245;3515;2110;2115
302;3081;6179;3467;2110;2111
301;3051;6133;3435;2093;2111
295;3035;6116;3409;2067;2109
295;3031;6109;3329;2058;2105
292;3014;6073;3304;2046;2103
292;2993;6044;3282;2039;2090
288;2962;6033;3110;2015;2090
281;2957;6012;3076;1998;2081
279;2943;5966;3053;1983;2077
278;2930;5959;3009;1975;2077
261;2927;5897;2955;1952;2072
256;2906;5874;2927;1940;2071
246;2883;5873;2916;1925;2067
235;2871;5804;2908;1925;2066
229;2798;5795;2836;1918;2066
227;2797;5792;2804;1911;2052
225;2794;5788;2772;1887;2042
224;2792;5764;2768;1876;2018
224;2787;5744;2728;1876;2000
220;2766;5743;2717;1876;1980
217;2763;5680;2701;1866;1976
217;2757;5665;2696;1854;1974
214;2737;5653;2675;1822;1970
212;2735;5646;2647;1818;1955
211;2731;5581;2614;1813;1953
211;2712;5565;2614;1798;1952
210;2712;5538;2600;1794;1952
207;2678;5532;2588;1794;1905
203;2678;5519;2548;1789;1890
197;2674;5474;2532;1783;1886
196;2644;5454;2469;1782;1884
193;2576;5370;2442;1776;1872
191;2568;5324;2438;1759;1858
191;2501;5291;2437;1745;1832
190;2419;5234;2428;1723;1826
190;2405;5211;2411;1721;1815
189;2396;5119;2403;1703;1812
189;2348;5096;2364;1696;1808
189;2288;5091;2357;1667;1808
188;2283;5068;2308;1664;1800
188;2271;5064;2288;1654;1796
187;2266;5059;2288;1640;1791
185;2257;5052;2286;1599;1762
180;2257;5042;2286;1591;1760
179;2254;5042;2285;1575;1750
178;2249;4939;2277;1563;1732
178;2238;4924;2195;1479;1731
174;2229;4905;2194;1457;1714
174;2197;4904;2181;1455;1711
170;2179;4865;2175;1438;1709
166;2164;4786;2169;1432;1678
166;2129;4752;2169;1420;1661
166;2124;4732;2157;1401;1644
165;2116;4732;2143;1392;1641
161;2116;4678;2142;1387;1637
161;2101;4650;2113;1375;1631
158;2096;4636;2083;1374;1627
158;2096;4594;2050;1353;1620
158;2078;4589;2027;1348;1611
156;2063;4575;2027;1337;1608
152;2032;4575;2009;1331;1608
151;1991;4537;1998;1319;1593
150;1980;4537;1971;1316;1586
149;1979;4500;1954;1316;1585
147;1978;4487;1924;1314;1582
146;1968;4457;1903;1306;1576
146;1937;4450;1894;1303;1572
146;1925;4428;1869;1295;1568
145;1884;4390;1861;1293;1558
143;1881;4380;1835;1271;1546
141;1879;4370;1809;1269;1538
140;1870;4343;1805;1256;1532
139;1869;4316;1797;1253;1527
138;1859;4306;1788;1238;1516
138;1857;4301;1780;1233;1512
137;1853;4290;1777;1225;1502
135;1848;4278;1771;1211;1494
134;1843;4222;1718;1204;1493
133;1843;4215;1699;1201;1480
133;1836;4210;1683;1197;1470
133;1836;4201;1650;1193;1469
133;1817;4171;1638;1192;1469
129;1807;4151;1633;1189;1466
126;1786;4113;1612;1186;1465
125;1786;4090;1610;1184;1459
125;1786;4027;1531;1174;1457
123;1778;4025;1519;1167;1455
123;1763;4019;1508;1160;1448
122;1750;4010;1485;1157;1439
122;1750;3987;1473;1140;1426
119;1744;3973;1447;1126;1426
118;1722;3931;1435;1118;1422
117;1719;3905;1430;1115;1420
116;1711;3855;1392;1111;1418
115;1709;3850;1378;1109;1414
114;1708;3809;1364;1108;1407
112;1698;3775;1353;1104;1399
109;1697;3761;1341;1092;1398
109;1690;3755;1294;1069;1397
108;1679;3748;1283;1067;1392
108;1679;3730;1261;1065;1388
107;1679;3713;1261;1054;1386
106;1660;3711;1250;1049;1381
105;1660;3681;1248;1045;1378
105;1658;3657;1247;1042;1375
104;1644;3655;1244;1042;1374
103;1641;3647;1219;1041;1369
103;1625;3611;1218;1041;1366
102;1614;3568;1203;1036;1355
101;1606;3558;1199;1030;1352
101;1592;3555;1176;1022;1347
100;1592;3546;1171;1018;1343
100;1589;3540;1151;1015;1341
96;1586;3511;1148;1008;1330
95;1578;3468;1146;967;1328
94;1558;3465;1122;967;1324
94;1555;3461;1101;959;1322
94;1547;3457;1101;954;1314
94;1543;3456;1100;953;1305
92;1540;3449;1096;952;1304
92;1539;3395;1092;952;1302
92;1539;3390;1085;952;1295
90;1519;3390;1060;946;1292
90;1507;3369;1037;925;1290
89;1502;3366;1033;922;1288
89;1500;3348;1029;918;1274
89;1498;3341;1027;917;1271
89;1491;3327;1009;906;1260
89;1482;3326;1006;903;1258
88;1475;3312;1004;902;1257
88;1470;3299;1003;901;1247
87;1467;3218;996;895;1236
86;1465;3188;957;889;1231
86;1462;3167;946;881;1211
85;1452;3123;938;879;1205
79;1449;3107;918;879;1203
79;1439;3105;917;869;1203
79;1438;3079;917;865;1198
78;1436;3078;912;862;1195
78;1425;3062;912;860;1192
78;1410;3005;908;859;1178
78;1409;3001;907;856;1172
78;1408;2997;907;856;1169
77;1397;2988;906;854;1153
77;1377;2983;899;852;1151
76;1372;2924;897;846;1147
75;1345;2916;889;844;1142
